,laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,Flash,HDD,Hybrid,SSD,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
57,58,15.6,4,2.0,586.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.5,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
58,59,17.3,16,2.43,2449.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
59,60,15.6,4,2.0,415.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.0,256000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
60,61,17.3,16,2.8,1299.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
61,62,14.0,8,1.7,879.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.6,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
62,63,14.0,8,1.7,599.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.7,256000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
63,64,14.0,8,1.4,941.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
64,66,15.6,8,1.86,690.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
65,67,15.6,16,1.8,1983.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,2.8,512000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
66,68,15.6,4,1.86,438.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.0,500000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
67,69,14.0,4,1.44,229.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.6,32000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
68,70,15.6,4,1.9,549.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
69,71,17.3,12,3.0,949.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.8,1000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
70,72,13.5,4,1.252,1089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2256,1504,2.5,128000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
71,73,13.3,8,1.4,955.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
72,74,15.6,8,2.2,870.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,256000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
73,75,17.3,8,2.7,1095.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.5,128000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
74,76,14.0,8,2.1,389.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.0,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
75,77,15.6,8,2.2,949.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.8,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
76,78,15.6,8,2.2,519.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,2000000.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
77,79,15.6,8,2.02,855.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.8,128000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
78,80,15.6,4,2.2,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.7,1000000.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
